Time,Percent,Speed,Error,Target
51818,-99.90224828934507,-3401.0,-293.0,-3231.496024131775
51820,99.90224828934507,3521.0,160.0,3231.496024131775
51838,-80.05865102639295,-3410.0,-293.0,-2267.7165269851685
51839,80.05865102639295,3535.0,160.0,2267.7165269851685
51858,-38.70967741935484,-3383.0,519.0,-992.125940322876
51859,38.70967741935484,3536.0,-2139.0,992.125940322876
51878,-6.647116324535679,-3224.0,519.0,-198.42519611120224
51879,6.647116324535679,3502.0,-2139.0,198.42519611120224
51898,0.0,-3224.0,519.0,28.125
51901,0.0,3198.0,-2139.0,-28.125
51918,0.0,-2266.0,519.0,28.125
51919,0.0,2701.0,-2139.0,-28.125
51938,0.0,-1656.0,519.0,28.125
51939,0.0,2080.0,-2139.0,-28.125
51958,0.0,-1037.0,519.0,28.125
51960,0.0,1415.0,-2139.0,-28.125
51978,0.0,-522.0,519.0,28.125
51979,0.0,750.0,-2139.0,-28.125
51998,0.0,-247.0,519.0,28.125
51999,0.0,356.0,-2139.0,-28.125
52018,0.0,-109.0,247.0,28.125
52019,0.0,147.0,-147.0,-28.125
52037,0.0,-109.0,247.0,28.125
52039,0.0,54.0,-147.0,-28.125
52058,0.0,-12.0,247.0,28.125
52059,0.0,12.0,-147.0,-28.125
52078,0.0,-1.0,247.0,28.125
52079,0.0,0.0,-147.0,-28.125
52099,0.0,0.0,247.0,28.125
52102,0.0,0.0,-147.0,-28.125
52119,0.0,0.0,247.0,28.125
52120,0.0,0.0,-147.0,-28.125
52138,0.0,0.0,247.0,28.125
52139,0.0,0.0,-147.0,-28.125
52158,0.0,0.0,247.0,28.125
52159,0.0,0.0,-147.0,-28.125
52178,0.0,0.0,0.0,28.125
52179,0.0,0.0,0.0,-28.125
52198,0.0,0.0,0.0,28.125
52199,0.0,0.0,0.0,-28.125
52218,0.0,0.0,0.0,28.125
52219,0.0,0.0,0.0,-28.125
52238,0.0,0.0,0.0,84.375
52239,0.0,0.0,0.0,-84.375
52258,0.0,0.0,0.0,168.75
52259,0.0,0.0,0.0,-168.75
52278,0.0,0.0,0.0,225.0
52280,0.0,0.0,0.0,-225.0
52298,0.0,0.0,0.0,309.375
52302,0.0,0.0,0.0,-309.375
52318,0.0,0.0,0.0,337.5
52319,0.0,0.0,0.0,-337.5
52338,0.0,0.0,16.0,365.625
52339,0.0,0.0,-16.0,-365.625
52357,0.0,0.0,16.0,365.625
52359,0.0,0.0,-16.0,-365.625
52378,0.0,0.0,16.0,393.75
52379,0.0,0.0,-16.0,-393.75
52398,0.0,0.0,16.0,450.0
52399,0.0,0.0,-16.0,-450.0
52418,0.0,0.0,16.0,506.25
52420,0.0,0.0,-16.0,-506.25
52438,0.0,0.0,16.0,618.75
52439,0.0,0.0,-16.0,-618.75
52458,0.0,0.0,16.0,759.375
52459,0.0,0.0,-16.0,-759.375
52478,0.0,0.0,16.0,843.75
52481,0.0,0.0,-16.0,-843.75
52498,4.69208211143695,0.0,136.0,956.25
52501,-4.69208211143695,0.0,-136.0,-956.25
52517,4.69208211143695,0.0,136.0,984.375
52518,-6.158357771260997,0.0,-136.0,-984.375
52538,6.549364613880742,14.0,136.0,1040.625
52539,-6.549364613880742,0.0,-136.0,-1040.625
52558,7.429130009775172,29.0,136.0,1068.75
